epoch: 16, nrg_mae: 4.5016326904296875 meV/atom, force_mae: 0 meV/AA
epoch: 16, nrg_mae: 4.463926792144775 meV/atom, force_mae: 0 meV/AA
epoch: 16, nrg_mae: 4.46260404586792 meV/atom, force_mae: 0 meV/AA
epoch: 16, nrg_mae: 4.45259428024292 meV/atom, force_mae: 0 meV/AA
epoch: 16, nrg_mae: 4.435245513916016 meV/atom, force_mae: 0 meV/AA
epoch: 16, nrg_mae: 4.416712284088135 meV/atom, force_mae: 0 meV/AA
epoch: 16, nrg_mae: 4.380754470825195 meV/atom, force_mae: 0 meV/AA
epoch: 16, nrg_mae: 4.364494800567627 meV/atom, force_mae: 0 meV/AA
epoch: 16, nrg_mae: 4.343326568603516 meV/atom, force_mae: 0 meV/AA
epoch: 16, nrg_mae: 4.246636390686035 meV/atom, force_mae: 0 meV/AA
epoch: 16, nrg_mae: 4.387080669403076 meV/atom, force_mae: 0 meV/AA
epoch: 16, nrg_mae: 4.196230888366699 meV/atom, force_mae: 0 meV/AA
epoch: 17, nrg_mae: 4.196230888366699 meV/atom, force_mae: 0 meV/AA
epoch: 17, nrg_mae: 4.226100444793701 meV/atom, force_mae: 0 meV/AA
epoch: 17, nrg_mae: 4.064866065979004 meV/atom, force_mae: 0 meV/AA
epoch: 17, nrg_mae: 4.011861324310303 meV/atom, force_mae: 0 meV/AA
epoch: 17, nrg_mae: 4.011690616607666 meV/atom, force_mae: 0 meV/AA
epoch: 17, nrg_mae: 3.9497296810150146 meV/atom, force_mae: 0 meV/AA
epoch: 17, nrg_mae: 3.9044063091278076 meV/atom, force_mae: 0 meV/AA
epoch: 17, nrg_mae: 3.8461804389953613 meV/atom, force_mae: 0 meV/AA
epoch: 17, nrg_mae: 3.7763516902923584 meV/atom, force_mae: 0 meV/AA
epoch: 17, nrg_mae: 3.872056722640991 meV/atom, force_mae: 0 meV/AA
epoch: 17, nrg_mae: 4.34867525100708 meV/atom, force_mae: 0 meV/AA
epoch: 17, nrg_mae: 3.7331700325012207 meV/atom, force_mae: 0 meV/AA
epoch: 18, nrg_mae: 3.7331700325012207 meV/atom, force_mae: 0 meV/AA
epoch: 18, nrg_mae: 3.711894989013672 meV/atom, force_mae: 0 meV/AA
epoch: 18, nrg_mae: 3.6794464588165283 meV/atom, force_mae: 0 meV/AA
epoch: 18, nrg_mae: 3.7474076747894287 meV/atom, force_mae: 0 meV/AA
epoch: 18, nrg_mae: 3.74298095703125 meV/atom, force_mae: 0 meV/AA
epoch: 18, nrg_mae: 3.724980354309082 meV/atom, force_mae: 0 meV/AA
epoch: 18, nrg_mae: 3.732367515563965 meV/atom, force_mae: 0 meV/AA
epoch: 18, nrg_mae: 3.7536542415618896 meV/atom, force_mae: 0 meV/AA
epoch: 18, nrg_mae: 3.764446496963501 meV/atom, force_mae: 0 meV/AA
epoch: 18, nrg_mae: 3.7607152462005615 meV/atom, force_mae: 0 meV/AA
epoch: 18, nrg_mae: 3.7428855895996094 meV/atom, force_mae: 0 meV/AA
epoch: 18, nrg_mae: 3.725008010864258 meV/atom, force_mae: 0 meV/AA
epoch: 19, nrg_mae: 3.725008010864258 meV/atom, force_mae: 0 meV/AA
epoch: 19, nrg_mae: 3.6264140605926514 meV/atom, force_mae: 0 meV/AA
epoch: 19, nrg_mae: 3.5718679428100586 meV/atom, force_mae: 0 meV/AA
epoch: 19, nrg_mae: 3.4641425609588623 meV/atom, force_mae: 0 meV/AA
epoch: 19, nrg_mae: 3.2738447189331055 meV/atom, force_mae: 0 meV/AA
epoch: 19, nrg_mae: 3.036046028137207 meV/atom, force_mae: 0 meV/AA
epoch: 19, nrg_mae: 2.832611322402954 meV/atom, force_mae: 0 meV/AA
epoch: 19, nrg_mae: 2.7434628009796143 meV/atom, force_mae: 0 meV/AA
epoch: 19, nrg_mae: 2.6866636276245117 meV/atom, force_mae: 0 meV/AA
epoch: 19, nrg_mae: 2.6715240478515625 meV/atom, force_mae: 0 meV/AA
epoch: 19, nrg_mae: 2.6178996562957764 meV/atom, force_mae: 0 meV/AA
epoch: 20, nrg_mae: 2.6178996562957764 meV/atom, force_mae: 0 meV/AA
epoch: 20, nrg_mae: 2.555716037750244 meV/atom, force_mae: 0 meV/AA
epoch: 20, nrg_mae: 2.4505257606506348 meV/atom, force_mae: 0 meV/AA
epoch: 20, nrg_mae: 2.415053129196167 meV/atom, force_mae: 0 meV/AA
